Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
157,4347,0,0,0,49310182,2456931,4420711,0,0,
158,4386,0,0,0,49765172,2479920,4462077,0,0,
159,4416,0,0,0,50051683,2493762,4486982,0,0,
160,4447,0,0,0,50448683,2513697,4522854,0,0,
161,4487,0,0,0,50917574,2537205,4565151,0,0,
162,4522,0,0,0,51370924,2559386,4605063,0,0,
163,4550,0,0,0,51843084,2583840,4649070,0,0,
164,4579,0,0,0,52301533,2608168,4692850,0,0,
165,4621,0,0,0,52801707,2632516,4736658,0,0,
166,4654,0,0,0,53210423,2652324,4772300,0,0,
167,4685,0,0,0,53526737,2668393,4801212,0,0,
168,4721,0,0,0,53921799,2687763,4836063,0,0,
169,4748,0,0,0,54284771,2706470,4869724,0,0,
170,4777,0,0,0,54555202,2719065,4892381,0,0,
171,4809,0,0,0,54949438,2738802,4927894,0,0,
172,4840,0,0,0,55262682,2754495,4956128,0,0,
173,4876,0,0,0,55892229,2787719,5015917,0,0,
174,4915,0,0,0,56346496,2810595,5057079,0,0,
175,4954,0,0,0,56752220,2830150,5092261,0,0,
176,4982,0,0,0,56975401,2840925,5111646,0,0,
177,5021,0,0,0,57611111,2874697,5172421,0,0,
178,5055,0,0,0,57986829,2893141,5205610,0,0,
179,5085,0,0,0,58299236,2909001,5234147,0,0,
180,5134,0,0,0,58770322,2932065,5275640,0,0,
181,5164,0,0,0,59214306,2954142,5315370,0,0,
182,5205,0,0,0,59626352,2975093,5353066,0,0,
183,5242,0,0,0,60162451,3002421,5402240,0,0,
184,5272,0,0,0,60518786,3019898,5433685,0,0,
185,5308,0,0,0,61038330,3046645,5481815,0,0,
186,5344,0,0,0,61445874,3066693,5517888,0,0,
187,5380,0,0,0,61864916,3087639,5555576,0,0,
188,5420,0,0,0,62524034,3120519,5614745,0,0,
189,5455,0,0,0,62875081,3137947,5646102,0,0,
