filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	8c3cae28-3b57-4fd7-840b-8642a1be30e8	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	114	1	39075.758750	1.232500	986	FALSE	39075.787500	963	1.203750	553	7.060752	2.975245	61.299274	7.310923	61.299274	7.310923
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	e6a8a1c0-de2c-4abb-9660-433155c28981	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	114	1	40088.627000	1.296500	1037	FALSE	40088.765750	926	1.157750	573	6.999869	2.960848	53.051056	7.498383	53.051056	7.498383
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	f7894894-9173-4cb3-b5d8-c87c4c039878	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	114	1	39956.374750	2.238750	1791	FALSE	39957.344750	1015	1.268750	531	6.200953	2.809294	56.987705	7.873302	56.987705	7.873302
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	db203063-527d-4fa6-bfd7-9b36d2944c5f	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	107	1	29472.624500	8.601000	6880	FALSE	29472.718250	6805	8.507250	3506	8.876598	3.017244	69.734955	9.747897	69.734955	9.747897
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	0f48a33e-0fa8-48e2-acd0-0d01e7bfcc99	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	124	1	32343.105000	1.358500	1086	FALSE	32343.310000	922	1.153500	450	8.467481	2.901677	65.798302	8.810599	65.798302	8.810599
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	b4f908c6-d86a-4825-bdc5-ea178758c7f5	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	87	1	36900.935500	6.867500	5494	TRUE	36901.041750	5409	6.761250	2117	10.835497	2.818337	67.297981	10.122816	67.297981	10.122816
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	e1c61a09-7914-44aa-8393-c9199eb20848	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	22	1	28730.472000	16.386500	13109	TRUE	28730.705750	12922	16.152750	7369	9.787239	3.136155	68.047821	8.998058	68.047821	8.998058
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	32a4522b-9c15-48b9-a835-e034c3928c66	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	99	1	37179.580250	1.848000	1478	FALSE	37179.735250	1354	1.693000	671	6.329495	2.807662	59.799599	8.248220	59.799599	8.248220
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	edc9ad9d-c585-482d-81e0-aeed5a98c181	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	84	1	33314.858500	2.555250	2044	TRUE	33315.179750	1787	2.234000	1013	9.297592	3.118095	90.168045	11.060114	90.168045	11.060114
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	9e1a75fd-799e-479e-8e8a-9f83f72be999	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	87	1	36393.864250	1.873750	1499	FALSE	36393.864250	1499	1.873750	311	3.596749	2.208702	66.735603	2.062055	66.735603	2.062055
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	23d271ab-ac4f-44a8-932d-a60dd11bb51b	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	109	1	28917.837000	1.076000	860	FALSE	28918.324500	470	0.588500	220	7.961581	2.845262	73.484146	8.810599	73.484146	8.810599
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	85666c13-3486-4958-94d4-b5adcd3e8ed6	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	24	1	23548.728250	1.043250	834	TRUE	23548.854500	733	0.917000	406	9.758080	3.078100	66.173225	8.060761	66.173225	8.060761
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	416f92f2-a203-4f8b-8e87-20f8b53b45be	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	89	1	33702.965250	8.843000	7074	TRUE	33703.151500	6925	8.656750	3380	9.133774	2.959838	67.860359	9.560437	67.860359	9.560437
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	17500b3e-add5-44a6-8d02-b202d74825e0	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	100	1	33838.492000	1.936250	1549	FALSE	33838.710750	1374	1.717500	788	8.828162	3.068916	74.421448	8.998058	74.421448	8.998058
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	48e9fe4e-3321-4410-811f-33b8aa846982	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	22	1	23764.944500	4.791000	3832	TRUE	23764.998250	3789	4.737250	1782	11.452873	2.943869	70.672256	9.372978	70.672256	9.372978
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	35891ef5-416f-4199-bee9-e15edc4fe666	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	82	1	29668.141500	1.349250	1079	FALSE	29668.267750	978	1.223000	499	8.129091	2.869751	69.922417	8.623139	69.922417	8.623139
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	ad626555-a58e-4f5d-a1c6-95c3f4cb96f1	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	88	1	26261.269500	2.359750	1887	FALSE	26261.607000	1617	2.022250	867	8.301440	2.967433	74.421448	9.747897	74.421448	9.747897
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	f2aa981a-ce39-46a3-9748-cba563dfd1bb	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	36	1	33470.946500	3.821750	3057	FALSE	33470.989000	3023	3.779250	1209	7.615448	2.736047	77.233337	10.122816	77.233337	10.122816
